"The Angel Hotel, Bury St Edmunds, Suffolk - save 45%",England,HOTEL,135,45,2018-02-12 00:01:00.000000,2018-02-23 23:59:00.000000,11,36
"Splendid Hotel & Spa, Nice, France - save 46%",France,HOTEL,89,46,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,36
"The Bishopstrow Hotel & Spa, Warminster, Wiltshire - save 51%",England,HOTEL,149,51,2018-02-02 00:01:00.000000,2018-02-23 23:59:00.000000,21,35
"The Beach at Bude, Bude, Cornwall - save 46%",England,HOTEL,169,46,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,34
"Atton Brickell Miami, Miami, Florida - save 30%",USA,HOTEL,104,30,2018-02-12 00:01:00.000000,2018-02-27 04:59:00.000000,15,34
"Sublime Sorrento Peninsula break with sea views, Hotel Piccolo Paradiso, Italy - save 43%",Italy,PACKAGE,598,43,2018-02-16 00:01:00.000000,2018-02-26 23:59:00.000000,10,34
"Grand Hotel Capodimonte, Naples, Italy - save 64%",Italy,HOTEL,37.76,64,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,34
"Warren House, Kingston upon Thames, Surrey - save 47%",England,HOTEL,169,47,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,34
"Mallory Court Hotel, Royal Leamington Spa, Warwickshire - save 55%",England,HOTEL,179,55,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,33
"Ramada Singapore at Zhongshan Park, Singapore - save 57%",Singapore,HOTEL,175,57,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,32
"Corse Lawn House, Corse Lawn, Cotswolds - save 61%",England,HOTEL,79,61,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,31
"The George at Cley, Cley-next-the-Sea, Norfolk - save 41%",England,HOTEL,89,41,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,31
"Millennium Hotel London Knightsbridge, Knightsbridge, London - save 58%",England,HOTEL,129,58,2018-02-14 00:01:00.000000,2018-02-27 23:59:00.000000,13,30
"Redesdale Arms, Moreton-in-Marsh, Cotswolds - save 51%",England,HOTEL,79,51,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,30
"137 Pillars Suites and Residences Bangkok, Bangkok, Thailand - save 37%",Thailand,HOTEL,4700,37,2018-02-11 00:01:00.000000,2018-02-26 23:59:00.000000,15,30
"Nandini Bali Jungle Resort And Spa Ubud, Bali, Indonesia - save 53%",Indonesia,HOTEL,160,53,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,29
"Chateau d'Urspelt, Urspelt, Clervaux, Luxembourg - save 37%",Luxemburg,HOTEL,79,37,2018-02-07 00:01:00.000000,2018-02-26 23:59:00.000000,19,29
"Hotel Andreus, Bolzano, Italy - save 26%",Italy,HOTEL,379,26,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,29
"Chilston Park Hotel, Maidstone, Kent - save 42%",England,HOTEL,149,42,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,28
"The Yarrow Hotel, Broadstairs, Kent - save 38%",England,HOTEL,99,38,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,28
"Hotel Gabrielli, Venice, Italy - save 39%",Italy,HOTEL,79,39,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,28
"The Redbury New York, Midtown, New York - save 38%",USA,HOTEL,115,38,2018-02-01 00:01:00.000000,2018-02-27 04:59:00.000000,26,27
"Best Western Premier Collection Hardwick Hall Hotel, Sedgefield, Durham - save 50%",England,HOTEL,79,50,2018-02-09 00:01:00.000000,2018-02-27 23:59:00.000000,18,27
"The Mandrake, Fitzrovia, London - save 60%",England,HOTEL,199,60,2018-02-05 00:01:00.000000,2018-02-27 23:59:00.000000,22,26
"Naumi, Singapore - save 34%",Singapore,HOTEL,264,34,2018-02-04 00:01:00.000000,2018-02-26 23:59:00.000000,22,26
"Relais Montemarino, Piemonte, Italy - save 57%",Italy,HOTEL,79,57,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,25
"Dryburgh Abbey Hotel, St Boswells, Scottish Borders - save 54%",Scotland,HOTEL,79,54,2018-02-19 00:01:00.000000,2018-02-27 10:45:00.000000,8,25
"Torre Mannelli Suites, Florence, Italy - save 47%",Italy,HOTEL,149,47,2018-02-17 00:01:00.000000,2018-02-26 23:59:00.000000,9,25
"Hotel Baia d'Oro, Lake Garda, Italy - save 33%",Italy,HOTEL,189,33,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,24
"5* Lanzarote suite holiday, Arrecife Gran Hotel & Spa, Spain - save 22%",Spain,PACKAGE,830,22,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,24
"Colonna Pevero, Sardinia, Italy - save 47%",Italy,HOTEL,235,47,2018-02-11 00:01:00.000000,2018-02-26 23:59:00.000000,15,24
"Bagden Hall, Denby Dale, West Yorkshire - save 58%",England,HOTEL,109,58,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,24
"Modern Manchester mystery stay, City Centre, Manchester - save 62%",England,HOTEL,89,62,2018-02-12 00:01:00.000000,2018-02-23 23:59:00.000000,11,23
"Mount Haven, Penzance, Cornwall - save 40%",England,HOTEL,90,40,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,23
"Chicheley Hall, Chicheley, Buckinghamshire - save 27%",England,HOTEL,109,27,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,23
"Clayton Hotel Birmingham, City centre, Birmingham - save 55%",England,HOTEL,89,55,2018-02-12 00:01:00.000000,2018-02-23 23:59:00.000000,11,23
"Cassa Hotel, Midtown, New York - save 64%",USA,HOTEL,169,64,2018-02-19 00:01:00.000000,2018-02-27 04:59:00.000000,8,23
"The Venetian Las Vegas, Las Vegas, Nevada - save 65%",USA,HOTEL,115,65,2018-01-16 00:01:00.000000,2018-02-27 04:59:00.000000,42,22
"Norway city & fjord summer holiday with train travel, Oslo, Balestrand & Bergen, with a scenic Sognefjord cruise - save 34%",Norway,PACKAGE,1598,34,2018-01-22 00:01:00.000000,2018-02-26 23:59:00.000000,35,22
"5* Andorra ski break with passes & optional equipment, Hotel Plaza Andorra, Pyrenees - save 23%",Spain,PACKAGE,1138,23,2018-01-19 00:01:00.000000,2018-02-26 23:59:00.000000,38,21
"Sandbanks Hotel, Poole, Dorset - save 46%",England,HOTEL,69,46,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,21
"Esseborne Manor, Andover, Hampshire - save 42%",England,HOTEL,129,42,2018-02-12 00:01:00.000000,2018-02-27 23:59:00.000000,15,21
"Occidental Praha Five, Prague, Czech Republic - save 50%",Czech Republic,HOTEL,69,50,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,21
"Dear Lisbon - Charming House, Lisbon, Portugal - save 51%",Portugal,HOTEL,86.25,51,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,21
"Camin Hotel Colmegna, Lake Maggiore, Italy - save 44%",Italy,HOTEL,173,44,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,21
"SHG Portamaggiore, Rome, Italy - save 55%",Italy,HOTEL,49,55,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,21
"Relais Bernard Loiseau, Burgundy, France - save 61%",France,HOTEL,186,61,2018-02-04 00:01:00.000000,2018-02-26 23:59:00.000000,22,20
"Restful Croatia break on the water's edge, Hotel Kana at Crvena Luka Hotel & Resort, Biograd na Moru - save 45%",Croatia,PACKAGE,590,45,2018-02-16 00:01:00.000000,2018-02-26 23:59:00.000000,10,20
"Avalon Hotel, Gothenburg, Sweden - save 24%",Sweden,HOTEL,1300,24,2018-02-18 00:01:00.000000,2018-02-26 23:59:00.000000,8,20
"5* sun-soaked Salamanca wine estate break with car hire, Hacienda Zorita Wine Hotel & Spa, Spain - save 45%",Spain,PACKAGE,658,45,2018-01-26 00:01:00.000000,2018-02-26 23:59:00.000000,31,20
"Relais Fra' Lorenzo, Verona, Italy - save 40%",Italy,HOTEL,149,40,2018-02-04 00:01:00.000000,2018-02-26 23:59:00.000000,22,20
"Seiser Alm Urthaler, South Tyrol, Italy - save 29%",Italy,HOTEL,229,29,2018-02-04 00:01:00.000000,2018-02-26 23:59:00.000000,22,19
"Moracea by Khao Lak Resort, Khao Lak, Thailand - save 32%",Thailand,HOTEL,2000,32,2018-02-11 00:01:00.000000,2018-02-26 23:59:00.000000,15,18
"5* all-inclusive Greece beach holiday, Aldemar Olympian Village, Skafidia - save 36%",Greece,PACKAGE,858,36,2018-02-16 00:01:00.000000,2018-02-26 23:59:00.000000,10,18
"Hotel Valencia Riverwalk, San Antonio, Texas - save 32%",USA,HOTEL,129,32,2018-02-18 00:01:00.000000,2018-02-27 04:59:00.000000,9,18
"Adaaran Prestige Ocean Villas, North Male Atoll, Maldives - save 40%",Maldives,HOTEL,456,40,2018-02-11 00:01:00.000000,2018-02-26 23:59:00.000000,15,18
"5* all-inclusive Kos holiday with sea views, Michelangelo Resort & Spa, Greek Islands - save 24%",Greece,PACKAGE,998,24,2018-02-16 00:01:00.000000,2018-02-26 23:59:00.000000,10,17
"Oddfellows On The Park, Cheadle, near Cheshire - save 47%",England,HOTEL,159,47,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,17
"Citadines Saint-Germain-des-Prés Paris, Paris, France - save 32%",France,HOTEL,145,32,2018-02-11 00:01:00.000000,2018-02-26 23:59:00.000000,15,17
"Upon Lisbon, Lisbon, Portugal - save 43%",Portugal,HOTEL,102.5,43,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,16
"Iberostar Playa Mita, Punta de Mita, Mexico - save 76%",Mexico,HOTEL,86,76,2018-02-16 00:01:00.000000,2018-02-27 04:59:00.000000,11,16
"Apex City of London Hotel, Tower Bridge, London - save 30%",England,HOTEL,129,30,2018-02-11 00:01:00.000000,2018-02-27 23:59:00.000000,16,16
"The Aquincum Hotel, Budapest, Hungary - save 34%",Hungary,HOTEL,80,34,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,16
"Green Acres Cottages, Penpillick, Cornwall - save 47%",England,HOTEL,45,47,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,16
"Tyddyn Llan, Denbighshire, Wales - save 61%",Wales/Cymru,HOTEL,195,61,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,15
"Elizabeth Suites Prague, Prague, Czech Republic - save 68%",Czech Republic,HOTEL,45,68,2018-02-12 00:01:00.000000,2018-02-26 23:59:00.000000,14,15
"5* luxury Gibraltar superyacht break, Sunborn Gibraltar - save 45%",Spain,PACKAGE,558,45,2018-02-16 00:01:00.000000,2018-02-26 23:59:00.000000,10,15
"Luxury all-inclusive Mexico beach holiday, Now Sapphire Riviera Cancun, Yucatán Peninsula - save 40%",Mexico,PACKAGE,2398,40,2018-01-12 00:01:00.000000,2018-02-26 23:59:00.000000,45,15
"NH Torino Lingotto Congress, Turin, Italy - save 42%",Italy,HOTEL,73,42,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,15
"Il Fortino Mini Suites, Liguria, Italy - save 58%",Italy,HOTEL,55,58,2018-02-19 00:01:00.000000,2018-02-26 23:59:00.000000,7,14
"The Grange Hotel, York, North Yorkshire - save 36%",England,HOTEL,135,36,2018-02-19 00:01:00.000000,2018-02-27 23:59:00.000000,8,14
"Hotel Barsey by Warwick, Brussels, Belgium - save 60%",Belgium,HOTEL,89,60,2018-02-11 00:01:00.000000,2018-02-26 23:59:00.000000,15,14
